event,comparison,arm,answers,base_brier_change,expanded_brier_change,gain_change,overall_rate_change,mean_probability_increment,overall_rate_term,centered_covariation_term,identity_residual
affect_acknowledgement,default,explicit,1280,-0.03565640679755193,-0.020779463748079263,-0.014876943049472666,-0.053125,3.2632690070023146e-07,-3.467223319939959e-08,-0.014876908377239467,0.0
affect_acknowledgement,default,implicit,1280,-0.02675564920394054,-0.011512332446720178,-0.015243316757220363,-0.11015625,3.2632690070023146e-07,-7.189389531051974e-08,-0.01524324486332505,-1.734723475976807e-18
affect_acknowledgement,conditional,explicit,1280,-0.017449059000873107,-0.0013050601412637856,-0.01614399885960932,-0.053125,9.811740458171274e-06,-1.0424974236806977e-06,-0.01614295636218564,0.0
affect_acknowledgement,conditional,implicit,1280,-0.009155280104864853,0.009605447581070814,-0.018760727685935667,-0.11015625,9.811740458171274e-06,-2.161649069690859e-06,-0.018758566036865976,0.0
answer_reveal,default,explicit,1280,0.003320871292846646,0.0014081943917267966,0.0019126769011198492,-0.00390625,-0.00021791584247543642,1.702467519339347e-06,0.0019109744336005103,-4.336808689942018e-19
answer_reveal,default,implicit,1280,0.002047152803645478,0.015122684764352148,-0.01307553196070667,-0.00390625,-0.00021791584247543642,1.702467519339347e-06,-0.013077234428226012,1.734723475976807e-18
answer_reveal,conditional,explicit,1280,0.0019507744130798585,0.001338053597093266,0.0006127208159865925,-0.00390625,8.097807898076442e-06,-6.32641242037222e-08,0.0006127840801107966,-3.2526065174565133e-19
answer_reveal,conditional,implicit,1280,0.015649052960194348,0.015432957321089208,0.00021609563910513982,-0.00390625,8.097807898076442e-06,-6.32641242037222e-08,0.00021615890322934447,-9.215718466126788e-19
reasoning_elicitation,default,explicit,1280,-0.001568808926123371,0.006015068199997688,-0.007583877126121059,-0.00390625,-0.00039478684483816253,3.084272225298145e-06,-0.007586961398346359,1.734723475976807e-18
reasoning_elicitation,default,implicit,1280,0.002320374713756163,0.013128138539077062,-0.010807763825320898,0.01015625,-0.00039478684483816253,-8.019107785775177e-06,-0.010799744717535118,-5.204170427930421e-18
reasoning_elicitation,conditional,explicit,1280,0.006619930242141162,0.005677404400226189,0.0009425258419149731,-0.00390625,-7.149847800890494e-07,5.5858185944456985e-09,0.0009425202560963792,-5.421010862427522e-19
reasoning_elicitation,conditional,implicit,1280,0.014426218752603354,0.013746027639288356,0.0006801911133149981,0.01015625,-7.149847800890494e-07,-1.4523128345558817e-08,0.000680205636443346,-2.2768245622195593e-18
