task,model,dimension,paired_contexts,generic_mean,pedagogy_mean,mean_delta,median_delta,positive_fraction,negative_fraction
mathdial_hard,deepseek-v4-pro,instructional_agency,34,4.3088235294117645,3.0,-1.3088235294117647,-1.5,0.058823529411764705,0.7941176470588235
mathdial_hard,deepseek-v4-pro,next_step_actionability,34,2.7941176470588234,3.6029411764705883,0.8088235294117647,0.5,0.5294117647058824,0.29411764705882354
mathdial_hard,deepseek-v4-pro,relational_communion,34,2.514705882352941,2.5588235294117645,0.04411764705882353,0.0,0.29411764705882354,0.23529411764705882
mathdial_hard,doubao-seed-2.0-pro,instructional_agency,34,4.088235294117647,3.0294117647058822,-1.0588235294117647,-1.5,0.17647058823529413,0.7058823529411765
mathdial_hard,doubao-seed-2.0-pro,next_step_actionability,34,2.8529411764705883,3.8529411764705883,1.0,1.0,0.5882352941176471,0.3235294117647059
mathdial_hard,doubao-seed-2.0-pro,relational_communion,34,3.485294117647059,2.9411764705882355,-0.5441176470588235,-0.5,0.14705882352941177,0.5294117647058824
mathdial_hard,glm-5.2,instructional_agency,34,3.4705882352941178,3.0588235294117645,-0.4117647058823529,0.0,0.20588235294117646,0.47058823529411764
mathdial_hard,glm-5.2,next_step_actionability,34,3.323529411764706,3.7205882352941178,0.39705882352941174,0.5,0.5294117647058824,0.17647058823529413
mathdial_hard,glm-5.2,relational_communion,34,2.8970588235294117,2.5441176470588234,-0.35294117647058826,0.0,0.058823529411764705,0.4411764705882353
mathdial_hard,minimax-m2.7,instructional_agency,34,4.573529411764706,3.2941176470588234,-1.2794117647058822,-1.5,0.08823529411764706,0.8235294117647058
mathdial_hard,minimax-m2.7,next_step_actionability,34,2.2058823529411766,3.6323529411764706,1.4264705882352942,2.0,0.7352941176470589,0.14705882352941177
mathdial_hard,minimax-m2.7,relational_communion,34,2.573529411764706,2.75,0.17647058823529413,0.0,0.3235294117647059,0.11764705882352941
mathdial_hard,minimax-m3,instructional_agency,34,4.485294117647059,3.411764705882353,-1.0735294117647058,-1.25,0.08823529411764706,0.6764705882352942
mathdial_hard,minimax-m3,next_step_actionability,34,2.588235294117647,3.3676470588235294,0.7794117647058824,0.25,0.5,0.3235294117647059
mathdial_hard,minimax-m3,relational_communion,34,2.8529411764705883,2.764705882352941,-0.08823529411764706,0.0,0.14705882352941177,0.23529411764705882
mathdial_hard,qwen3.5-4b,instructional_agency,34,4.382352941176471,3.2794117647058822,-1.1029411764705883,-1.0,0.058823529411764705,0.7941176470588235
mathdial_hard,qwen3.5-4b,next_step_actionability,34,2.8970588235294117,3.764705882352941,0.8676470588235294,0.0,0.47058823529411764,0.17647058823529413
mathdial_hard,qwen3.5-4b,relational_communion,34,3.1911764705882355,2.7941176470588234,-0.39705882352941174,0.0,0.11764705882352941,0.4411764705882353
mathdial_standard,deepseek-v4-pro,instructional_agency,74,3.7094594594594597,2.9662162162162162,-0.7432432432432432,-0.5,0.14864864864864866,0.5540540540540541
mathdial_standard,deepseek-v4-pro,next_step_actionability,74,2.8986486486486487,3.695945945945946,0.7972972972972973,0.5,0.6081081081081081,0.16216216216216217
mathdial_standard,deepseek-v4-pro,relational_communion,74,2.7432432432432434,2.581081081081081,-0.16216216216216217,0.0,0.20270270270270271,0.36486486486486486
mathdial_standard,doubao-seed-2.0-pro,instructional_agency,74,4.195945945945946,2.8445945945945947,-1.3513513513513513,-2.0,0.0945945945945946,0.7837837837837838
mathdial_standard,doubao-seed-2.0-pro,next_step_actionability,74,2.722972972972973,3.8716216216216215,1.1486486486486487,1.0,0.6351351351351351,0.24324324324324326
mathdial_standard,doubao-seed-2.0-pro,relational_communion,74,3.5945945945945947,3.222972972972973,-0.3716216216216216,-0.5,0.16216216216216217,0.527027027027027
mathdial_standard,glm-5.2,instructional_agency,74,3.277027027027027,2.9324324324324325,-0.34459459459459457,0.0,0.24324324324324326,0.4864864864864865
mathdial_standard,glm-5.2,next_step_actionability,74,3.425675675675676,3.7567567567567566,0.3310810810810811,0.0,0.43243243243243246,0.25675675675675674
mathdial_standard,glm-5.2,relational_communion,74,3.168918918918919,2.9054054054054053,-0.2635135135135135,0.0,0.13513513513513514,0.3783783783783784
mathdial_standard,minimax-m2.7,instructional_agency,74,4.743243243243243,3.2094594594594597,-1.5337837837837838,-1.5,0.013513513513513514,0.9594594594594594
mathdial_standard,minimax-m2.7,next_step_actionability,74,2.2027027027027026,4.0675675675675675,1.864864864864865,2.5,0.7432432432432432,0.17567567567567569
mathdial_standard,minimax-m2.7,relational_communion,74,2.7635135135135136,2.9864864864864864,0.22297297297297297,0.0,0.2702702702702703,0.08108108108108109
mathdial_standard,minimax-m3,instructional_agency,74,4.148648648648648,3.060810810810811,-1.087837837837838,-1.5,0.17567567567567569,0.7567567567567568
mathdial_standard,minimax-m3,next_step_actionability,74,2.8513513513513513,3.810810810810811,0.9594594594594594,0.5,0.6081081081081081,0.25675675675675674
mathdial_standard,minimax-m3,relational_communion,74,3.1621621621621623,2.9932432432432434,-0.16891891891891891,0.0,0.13513513513513514,0.33783783783783783
mathdial_standard,qwen3.5-4b,instructional_agency,74,4.162162162162162,3.25,-0.9121621621621622,-1.0,0.10810810810810811,0.7297297297297297
mathdial_standard,qwen3.5-4b,next_step_actionability,74,2.6283783783783785,3.810810810810811,1.1824324324324325,1.0,0.7027027027027027,0.17567567567567569
mathdial_standard,qwen3.5-4b,relational_communion,74,3.2027027027027026,2.9121621621621623,-0.2905405405405405,0.0,0.12162162162162163,0.4189189189189189
