benchmark,task,arm,model,dimension,raw_mean,centered_mean,z_centered_mean,contexts
mathtutorbench_scaffolding,mathdial_standard,generic,deepseek-v4-pro,instructional_agency,3.7094594594594597,-0.32995495495495497,-0.40789758765318407,74
mathtutorbench_scaffolding,mathdial_standard,generic,deepseek-v4-pro,next_step_actionability,2.8986486486486487,0.11036036036036037,0.10111955342251638,74
mathtutorbench_scaffolding,mathdial_standard,generic,deepseek-v4-pro,relational_communion,2.7432432432432434,-0.3626126126126126,-0.6491008816837076,74
mathtutorbench_scaffolding,mathdial_standard,generic,doubao-seed-2.0-pro,instructional_agency,4.195945945945946,0.15653153153153154,0.19350772929622045,74
mathtutorbench_scaffolding,mathdial_standard,generic,doubao-seed-2.0-pro,next_step_actionability,2.722972972972973,-0.0653153153153153,-0.05984626631128518,74
mathtutorbench_scaffolding,mathdial_standard,generic,doubao-seed-2.0-pro,relational_communion,3.5945945945945947,0.4887387387387387,0.8748751013997799,74
mathtutorbench_scaffolding,mathdial_standard,generic,glm-5.2,instructional_agency,3.277027027027027,-0.7623873873873873,-0.9424800916082103,74
mathtutorbench_scaffolding,mathdial_standard,generic,glm-5.2,next_step_actionability,3.425675675675676,0.6373873873873873,0.5840170126239211,74
mathtutorbench_scaffolding,mathdial_standard,generic,glm-5.2,relational_communion,3.168918918918919,0.06306306306306309,0.11288710985803614,74
mathtutorbench_scaffolding,mathdial_standard,generic,minimax-m2.7,instructional_agency,4.743243243243243,0.7038288288288289,0.8700887108643006,74
mathtutorbench_scaffolding,mathdial_standard,generic,minimax-m2.7,next_step_actionability,2.2027027027027026,-0.5855855855855855,-0.5365527324460052,74
mathtutorbench_scaffolding,mathdial_standard,generic,minimax-m2.7,relational_communion,2.7635135135135136,-0.34234234234234234,-0.6128157392293389,74
mathtutorbench_scaffolding,mathdial_standard,generic,minimax-m3,instructional_agency,4.148648648648648,0.10923423423423424,0.13503776792613947,74
mathtutorbench_scaffolding,mathdial_standard,generic,minimax-m3,next_step_actionability,2.8513513513513513,0.06306306306306309,0.057782601955723656,74
mathtutorbench_scaffolding,mathdial_standard,generic,minimax-m3,relational_communion,3.1621621621621623,0.05630630630630632,0.10079206237324653,74
mathtutorbench_scaffolding,mathdial_standard,generic,qwen3.5-4b,instructional_agency,4.162162162162162,0.12274774774774776,0.15174347117473402,74
mathtutorbench_scaffolding,mathdial_standard,generic,qwen3.5-4b,next_step_actionability,2.6283783783783785,-0.1599099099099099,-0.14652016924487066,74
mathtutorbench_scaffolding,mathdial_standard,generic,qwen3.5-4b,relational_communion,3.2027027027027026,0.09684684684684686,0.17336234728198405,74
mathtutorbench_scaffolding_hard,mathdial_hard,generic,deepseek-v4-pro,instructional_agency,4.3088235294117645,0.09068627450980395,0.11312371708309528,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,deepseek-v4-pro,next_step_actionability,2.7941176470588234,0.017156862745098058,0.016370955999727318,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,deepseek-v4-pro,relational_communion,2.514705882352941,-0.40441176470588236,-0.6745813775212713,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,doubao-seed-2.0-pro,instructional_agency,4.088235294117647,-0.1299019607843137,-0.16204208122713637,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,doubao-seed-2.0-pro,next_step_actionability,2.8529411764705883,0.07598039215686277,0.07249994799879236,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,doubao-seed-2.0-pro,relational_communion,3.485294117647059,0.5661764705882353,0.9444139285297797,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,glm-5.2,instructional_agency,3.4705882352941178,-0.747549019607843,-0.9325063164957851,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,glm-5.2,next_step_actionability,3.323529411764706,0.5465686274509804,0.5215318839913128,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,glm-5.2,relational_communion,2.8970588235294117,-0.022058823529411766,-0.03679534786479663,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,minimax-m2.7,instructional_agency,4.573529411764706,0.3553921568627451,0.44332267505537326,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,minimax-m2.7,next_step_actionability,2.2058823529411766,-0.5710784313725491,-0.5449189639909232,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,minimax-m2.7,relational_communion,2.573529411764706,-0.34558823529411764,-0.5764604498818136,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,minimax-m3,instructional_agency,4.485294117647059,0.26715686274509803,0.3332563557312806,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,minimax-m3,next_step_actionability,2.588235294117647,-0.18872549019607843,-0.18008051599700037,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,minimax-m3,relational_communion,2.8529411764705883,-0.0661764705882353,-0.11038604359438986,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,qwen3.5-4b,instructional_agency,4.382352941176471,0.16421568627450983,0.20484564985317252,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,qwen3.5-4b,next_step_actionability,2.8970588235294117,0.12009803921568629,0.1145966919980912,34
mathtutorbench_scaffolding_hard,mathdial_hard,generic,qwen3.5-4b,relational_communion,3.1911764705882355,0.27205882352941174,0.45380929033249157,34
mathtutorbench_socratic,socratic,socratic,deepseek-v4-pro,instructional_agency,3.8986486486486487,-0.042792792792792786,-0.3002280318446956,74
mathtutorbench_socratic,socratic,socratic,deepseek-v4-pro,next_step_actionability,3.97972972972973,-0.05067567567567564,-0.17180514508338995,74
mathtutorbench_socratic,socratic,socratic,deepseek-v4-pro,relational_communion,1.5202702702702702,0.0,0.0,74
mathtutorbench_socratic,socratic,socratic,doubao-seed-2.0-pro,instructional_agency,3.918918918918919,-0.022522522522522515,-0.15801475360247133,74
mathtutorbench_socratic,socratic,socratic,doubao-seed-2.0-pro,next_step_actionability,4.027027027027027,-0.0033783783783783365,-0.011453676338892523,74
mathtutorbench_socratic,socratic,socratic,doubao-seed-2.0-pro,relational_communion,1.5202702702702702,0.0,0.0,74
mathtutorbench_socratic,socratic,socratic,glm-5.2,instructional_agency,3.925675675675676,-0.015765765765765757,-0.11061032752172992,74
mathtutorbench_socratic,socratic,socratic,glm-5.2,next_step_actionability,3.939189189189189,-0.09121621621621617,-0.30924926115010204,74
mathtutorbench_socratic,socratic,socratic,glm-5.2,relational_communion,1.5202702702702702,0.0,0.0,74
mathtutorbench_socratic,socratic,socratic,minimax-m2.7,instructional_agency,4.02027027027027,0.07882882882882884,0.55305163760865,74
mathtutorbench_socratic,socratic,socratic,minimax-m2.7,next_step_actionability,4.128378378378378,0.09797297297297303,0.3321566138278877,74
mathtutorbench_socratic,socratic,socratic,minimax-m2.7,relational_communion,1.5202702702702702,0.0,0.0,74
mathtutorbench_socratic,socratic,socratic,minimax-m3,instructional_agency,3.9527027027027026,0.01126126126126127,0.07900737680123576,74
mathtutorbench_socratic,socratic,socratic,minimax-m3,next_step_actionability,4.0675675675675675,0.037162162162162206,0.12599043972781954,74
mathtutorbench_socratic,socratic,socratic,minimax-m3,relational_communion,1.5202702702702702,0.0,0.0,74
mathtutorbench_socratic,socratic,socratic,qwen3.5-4b,instructional_agency,3.9324324324324325,-0.009009009009009,-0.0632059014409885,74
mathtutorbench_socratic,socratic,socratic,qwen3.5-4b,next_step_actionability,4.04054054054054,0.010135135135135177,0.03436102901667818,74
mathtutorbench_socratic,socratic,socratic,qwen3.5-4b,relational_communion,1.5202702702702702,0.0,0.0,74
