event,comparison,assignment,sources,mean_difference,source_standard_error,p_one_sided_gain
affect_acknowledgement,default_vs_context,case_00,32,0.01982098559123211,0.0029385882693585105,7.510995713523987e-08
affect_acknowledgement,student_state_vs_domain,case_00,32,0.009733918438119982,0.0022259566849396175,6.416315842168159e-05
affect_acknowledgement,default_vs_context,case_01,32,0.01982098559123211,0.0029385882693585105,7.510995713523987e-08
affect_acknowledgement,student_state_vs_domain,case_01,32,0.009733918438119982,0.0022259566849396175,6.416315842168159e-05
affect_acknowledgement,default_vs_context,case_10,32,0.01982098559123211,0.0029385882693585105,7.510995713523987e-08
affect_acknowledgement,student_state_vs_domain,case_10,32,0.009733918438119982,0.0022259566849396175,6.416315842168159e-05
affect_acknowledgement,default_vs_context,case_11,32,0.01982098559123211,0.0029385882693585105,7.510995713523987e-08
affect_acknowledgement,student_state_vs_domain,case_11,32,0.009733918438119982,0.0022259566849396175,6.416315842168159e-05
answer_reveal,default_vs_context,case_00,32,0.09127483878141295,0.009879275116134418,1.0245098144462511e-10
answer_reveal,student_state_vs_domain,case_00,32,0.0004308814861143711,0.0004315119236170706,0.1628745129393849
answer_reveal,default_vs_context,case_01,32,0.09127483878141295,0.009879275116134418,1.0245098144462511e-10
answer_reveal,student_state_vs_domain,case_01,32,0.0004308814861143711,0.0004315119236170706,0.1628745129393849
answer_reveal,default_vs_context,case_10,32,0.09127483878141295,0.009879275116134418,1.0245098144462511e-10
answer_reveal,student_state_vs_domain,case_10,32,0.0004308814861143711,0.0004315119236170706,0.1628745129393849
answer_reveal,default_vs_context,case_11,32,0.09127483878141295,0.009879275116134418,1.0245098144462511e-10
answer_reveal,student_state_vs_domain,case_11,32,0.0004308814861143711,0.0004315119236170706,0.1628745129393849
reasoning_elicitation,default_vs_context,case_00,32,0.12969791843468378,0.00427529028133135,6.465224487980634e-25
reasoning_elicitation,student_state_vs_domain,case_00,32,-0.00016261750466288363,0.0004467128336405677,0.6408471139202396
reasoning_elicitation,default_vs_context,case_01,32,0.12969791843468378,0.00427529028133135,6.465224487980634e-25
reasoning_elicitation,student_state_vs_domain,case_01,32,-0.00016261750466288363,0.0004467128336405677,0.6408471139202396
reasoning_elicitation,default_vs_context,case_10,32,0.12969791843468378,0.00427529028133135,6.465224487980634e-25
reasoning_elicitation,student_state_vs_domain,case_10,32,-0.00016261750466288363,0.0004467128336405677,0.6408471139202396
reasoning_elicitation,default_vs_context,case_11,32,0.12969791843468378,0.00427529028133135,6.465224487980634e-25
reasoning_elicitation,student_state_vs_domain,case_11,32,-0.00016261750466288363,0.0004467128336405677,0.6408471139202396
