model,log_chars,log_tokens,line_count,sentence_count,mean_sentence_tokens,markdown_heading_rate,bullet_rate,numbered_step_rate,latex_rate,emoji_rate,table_present,question_rate,ends_question,exactly_one_question,second_person_rate,first_plural_rate,praise_rate,encouragement_rate,hedge_rate,imperative_rate,history_reference_rate,answer_reveal_rate,explanation_rate,diagnosis_rate
deepseek-v4-pro,-0.18558146513479476,-0.22845794977809658,-0.19676753842926256,-0.031344433409142905,0.10295833036114965,-0.20415836570329254,-0.3205328978500151,-0.31789559890520797,-0.11717398893932567,-0.08535874076322175,-0.1061731601126609,-0.07255517731511443,0.021837799210787295,-0.06076493142369942,0.034890063185113666,-0.1769176534034378,0.012266896743059919,-0.0006008648852940893,0.1382537300185476,-0.21151457041835994,-0.011988329563497074,0.12162545538555047,0.027346460317506798,-0.11208509313211142
doubao-seed-2.0-pro,0.5304782565378938,0.5735893517262309,0.07582513299793395,0.018557063782474393,0.11686818994250942,0.6939126002217008,-0.06039291770412727,0.05527166132880739,-0.0750561883864738,-0.07802708949755247,0.0549863757108104,-0.05600122530138544,-0.023671154235259437,-0.04570844843297191,-0.03989188667188228,0.29631195805071214,0.0034045671380748058,-0.018915164986989846,-0.12286047544206559,-0.02292898626440669,0.00624709539361251,-0.1736272986731124,-0.17703403631067557,0.3357190797111833
glm-5.2,-0.05253115711623981,-0.04054109109550214,-0.07343252785096244,-0.0400644435736703,-0.07799964611501368,-0.2181146624971206,-0.12943229996944805,-0.01586492980906307,-0.035296904990421527,-0.08168153978960407,-0.10764767953862191,-0.03874957298041289,-0.023671154235259437,-0.014148241070584863,0.02672623449191553,0.23651694409036392,-0.00017297369621128642,-0.006673842055350829,0.008779541311906527,0.008616368340975579,0.019821961157761976,-0.09072691015562152,0.26022910606890665,0.02610645241136322
minimax-m2.7,-0.5007426821955483,-0.5198539060215885,-0.0957019158216052,-0.07374367409381484,-0.2668114890683617,-0.21556100718196158,-0.09134794990274824,0.12820505864117,-0.1390976254519099,-0.06540749791670741,0.12834073055170697,-0.004864917293524165,0.005032187378059238,0.02136763208881062,-0.04561463892874859,-0.22303967460866536,0.0470133476113504,0.005899619957737346,-0.00029593959252748655,-0.21127972614797325,-0.06514372691350573,0.3579788231032115,-0.0796997401017644,-0.18636933284102503
minimax-m3,0.033904277050528266,0.017230195418571237,0.016125001800008948,-0.08159077052123469,0.33228815176494125,0.18129150723866827,0.488276729629201,-0.09772091412843072,-0.014580487424082189,0.3982238560263137,0.09259235643533911,0.056904891213189965,0.05247191581287947,0.03610750662692633,0.012623960364623044,-0.24499688735028075,-0.0484976546264357,0.020150928402242987,-0.017696207609590855,0.27227686117183525,0.023944041829257173,-0.09087288737828983,-0.023077109575055474,-0.014765813377380928
qwen3.5-4b,0.1744727708581608,0.19803339975038511,0.2739518473038873,0.20818625781538833,-0.20730353688522496,-0.23737007207799435,0.11342933579713764,0.24800472287272435,0.38120519519221296,-0.08774898805922801,-0.062098623046573626,0.11526600167724695,-0.031999593931207104,0.0631464822115193,0.011266267558978624,0.11212531322130785,-0.014014183169838131,0.00013932356765442803,-0.006180648686270211,0.164830053317929,0.027118958096371135,-0.12437718228173822,-0.007764680398917982,-0.048605292772029206
