selector,model,probing_ask_rate,telling_ask_rate,probing_minus_telling_ask_rate,stratified_context_bootstrap_ci_low,stratified_context_bootstrap_ci_high
selector_ask_first,ALL,0.7624999999999998,0.7041666666666666,0.05833333333333324,-0.025000000000000022,0.1416666666666666
selector_ask_first,MiniMax-M2.7,0.4791666666666667,0.4583333333333333,0.02083333333333337,-0.18749999999999994,0.20833333333333337
selector_ask_first,MiniMax-M3,0.5208333333333334,0.375,0.14583333333333337,-0.041666666666666685,0.33333333333333337
selector_ask_first,deepseek-v4-pro,0.9583333333333334,0.9583333333333334,0.0,-0.08333333333333337,0.08333333333333337
selector_ask_first,doubao-seed-2.0-lite,0.9375,0.9375,0.0,-0.10416666666666663,0.10416666666666663
selector_ask_first,glm-5.2,0.9166666666666666,0.7916666666666666,0.125,-0.02083333333333337,0.27083333333333337
selector_explain_first,ALL,0.775,0.6708333333333334,0.10416666666666663,0.029166666666666785,0.1708333333333334
selector_explain_first,MiniMax-M2.7,0.3333333333333333,0.20833333333333334,0.12499999999999997,-0.041666666666666685,0.2916666666666667
selector_explain_first,MiniMax-M3,0.6875,0.5625,0.125,-0.08333333333333326,0.3125
selector_explain_first,deepseek-v4-pro,1.0,0.9375,0.0625,0.0,0.14583333333333337
selector_explain_first,doubao-seed-2.0-lite,0.9375,0.875,0.0625,-0.04166666666666674,0.1875
selector_explain_first,glm-5.2,0.9166666666666666,0.7708333333333334,0.14583333333333326,0.0,0.29166666666666663
