event,comparison,baseline,model,sources,mean_difference,source_standard_error,test_note,bootstrap_95_low,bootstrap_95_high,t_interval_alpha,t_interval_low,t_interval_high,judge_panel
answer_reveal,default_vs_context,context,default_profile,32,0.08820252383814674,0.009729851172264662,,0.06874654011813995,0.10559273377560444,0.05,0.0683583615408771,0.10804668613541638,without_MiniMax-M3
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.00040449926122137407,0.0004215972484501245,,-0.00038517706492998365,0.001250261236849647,0.05,-0.0004553539959563822,0.0012643525183991303,without_MiniMax-M3
reasoning_elicitation,default_vs_context,context,default_profile,32,0.12573381209390272,0.00404057384717752,,0.11789711060542851,0.13341481799243207,0.05,0.1174930074014265,0.13397461678637893,without_MiniMax-M3
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-1.2017820747694e-05,0.000398991960465636,,-0.0007509595822620446,0.0007574201814990842,0.05,-0.0008257672891214228,0.0008017316476260348,without_MiniMax-M3
affect_acknowledgement,default_vs_context,context,default_profile,32,0.018122463328879193,0.0026192121881605003,,0.01293946373187534,0.02294575156863801,0.05,0.012780544852160493,0.023464381805597893,without_MiniMax-M3
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.009888230643775808,0.002179743461812341,,0.0056489907377077955,0.014000160299539289,0.05,0.005442614543714883,0.014333846743836733,without_MiniMax-M3
answer_reveal,default_vs_context,context,default_profile,32,0.09316635429612177,0.0093767739856768,,0.07435103688001866,0.11006096302607561,0.05,0.07404229766851389,0.11229041092372966,without_deepseek-v4-pro
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.0004815690472889277,0.0004065827367457599,,-0.00028299213777879475,0.0012980627157769841,0.05,-0.00034766191137670065,0.001310800005954556,without_deepseek-v4-pro
reasoning_elicitation,default_vs_context,context,default_profile,32,0.129302452465974,0.00392708235892895,,0.12185891258182713,0.13678884435213123,0.05,0.12129311518983227,0.13731178974211572,without_deepseek-v4-pro
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-0.00016214012386665854,0.0005332949914116451,,-0.0011621385458628175,0.0008612667134680434,0.05,-0.0012498024297465658,0.0009255221820132487,without_deepseek-v4-pro
affect_acknowledgement,default_vs_context,context,default_profile,32,0.018736198752993295,0.002598231339702356,,0.01358691601554835,0.023550496554318786,0.05,0.013437070998821786,0.024035326507164806,without_deepseek-v4-pro
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.008439085593805355,0.002145970033732985,,0.004258320444625776,0.012485120995032354,0.05,0.004062350854443179,0.01281582033316753,without_deepseek-v4-pro
answer_reveal,default_vs_context,context,default_profile,32,0.090633186019965,0.008932657218707974,,0.07279462243232195,0.10680419165390177,0.05,0.07241491151036016,0.10885146052956986,without_glm-5.3
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.0005304237223194503,0.00045908617968022994,,-0.0003323865768623339,0.001443703305305579,0.05,-0.00040588871419313625,0.0014667361588320367,without_glm-5.3
reasoning_elicitation,default_vs_context,context,default_profile,32,0.12793492603470452,0.0038447723816421794,,0.12044581231270081,0.13518259724554726,0.05,0.12009346106401175,0.1357763910053973,without_glm-5.3
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-5.5550682083321595e-05,0.0003632957996180529,,-0.0007291466815489305,0.0006547139765387779,0.05,-0.0007964973504236756,0.0006853959862570324,without_glm-5.3
affect_acknowledgement,default_vs_context,context,default_profile,32,0.01969480749961385,0.002993353191038633,,0.013772057597192118,0.025168585871537606,0.05,0.013589823416676961,0.025799791582550736,without_glm-5.3
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.00853641168876549,0.0022951211322709037,,0.003998739323713369,0.012907025123240077,0.05,0.0038554812783904322,0.013217342099140546,without_glm-5.3
