event,replicate,comparison,gain,training_rows,unique_original_training_sources,default_minus_style_risk
answer_reveal,37,default_vs_context,0.09004196058136828,1320,18,-0.07174739210734667
answer_reveal,37,student_state_vs_domain,-0.0009831018044350048,1320,18,-0.07174739210734667
answer_reveal,38,default_vs_context,0.09072270556687055,1360,22,-0.07790659458219994
answer_reveal,38,student_state_vs_domain,-0.00018283401408289435,1360,22,-0.07790659458219994
answer_reveal,39,default_vs_context,0.09002663899529526,1280,21,-0.07354385296223839
answer_reveal,39,student_state_vs_domain,0.00027511469640859043,1280,21,-0.07354385296223839
answer_reveal,40,default_vs_context,0.0890702637224136,1320,19,-0.06206724823682068
answer_reveal,40,student_state_vs_domain,-0.00025434257349249423,1320,19,-0.06206724823682068
answer_reveal,41,default_vs_context,0.08882705874103816,1280,18,-0.06511128944641037
answer_reveal,41,student_state_vs_domain,-0.0007877412165154946,1280,18,-0.06511128944641037
answer_reveal,42,default_vs_context,0.09086118578071914,1280,21,-0.08021858223421893
answer_reveal,42,student_state_vs_domain,0.00017383655526236053,1280,21,-0.08021858223421893
answer_reveal,43,default_vs_context,0.0924150003809675,1240,19,-0.08121765729308522
answer_reveal,43,student_state_vs_domain,-0.0008222931231087749,1240,19,-0.08121765729308522
answer_reveal,44,default_vs_context,0.08983415264074712,1280,20,-0.0733215756957718
answer_reveal,44,student_state_vs_domain,-0.00019783109354580553,1280,20,-0.0733215756957718
answer_reveal,45,default_vs_context,0.08595490719163741,1400,15,-0.07859835884487894
answer_reveal,45,student_state_vs_domain,0.0006407412025146719,1400,15,-0.07859835884487894
answer_reveal,46,default_vs_context,0.09071950259412158,1320,18,-0.06200234983331217
answer_reveal,46,student_state_vs_domain,-0.00021402176684665736,1320,18,-0.06200234983331217
answer_reveal,47,default_vs_context,0.09081039313313043,1240,24,-0.07643124530770261
answer_reveal,47,student_state_vs_domain,0.0005643222564159014,1240,24,-0.07643124530770261
answer_reveal,48,default_vs_context,0.08666876217279972,1240,17,-0.05896974851906424
answer_reveal,48,student_state_vs_domain,-0.0006061345472664348,1240,17,-0.05896974851906424
answer_reveal,49,default_vs_context,0.0918656322736702,1320,17,-0.07921378363320183
answer_reveal,49,student_state_vs_domain,1.646540815983949e-05,1320,17,-0.07921378363320183
