task,dimension,contexts,models,ss_total,ss_context,ss_model,ss_prompt,ss_model_by_prompt,ss_residual,eta_squared_context,eta_squared_model,eta_squared_prompt,eta_squared_model_by_prompt,partial_eta_squared_model,partial_eta_squared_prompt,partial_eta_squared_model_by_prompt,prompt_to_model_ss_ratio,interaction_to_model_ss_ratio
mathdial_hard,affective_warmth,40,6,554.2479166666667,106.16458333333333,62.53541666666666,7.752083333333319,15.98541666666667,361.81041666666675,0.19154710399603064,0.11282932201669679,0.01398667112716554,0.028841636000736737,0.1473689895230894,0.020976379728282275,0.04231231595548742,0.12396308758370235,0.25562181430522707
mathdial_hard,autonomy_support,40,6,739.3249999999999,74.99166666666666,54.47500000000004,187.5,27.400000000000006,394.95833333333326,0.1014326130817525,0.07368207486558691,0.2536097115612214,0.037060832516146495,0.12120818808870439,0.32191143858645116,0.06487382357003338,3.441945846718676,0.5029830197338226
mathdial_hard,cognitive_load,40,6,339.9979166666667,58.41458333333334,12.08541666666667,62.35208333333331,9.835416666666669,197.3104166666667,0.1718086507883014,0.035545560940937145,0.18338960410296623,0.02892787333255719,0.057715650184061294,0.24012740897639553,0.0474806396459821,5.159282882261675,0.8138252025512842
mathdial_hard,diagnostic_specificity,40,6,1051.5916666666667,467.75833333333327,31.14166666666665,30.0,5.700000000000003,516.9916666666668,0.44480985173269083,0.029613839338780087,0.02852818346791768,0.005420354858904362,0.056814035514473324,0.054845442496077014,0.010905090636608583,0.9633395772009639,0.1830345196681832
mathdial_hard,elicitation,40,6,1504.8979166666668,193.14791666666667,116.91041666666666,565.5020833333331,47.06041666666671,582.2770833333336,0.12834619180979884,0.07768660941841292,0.3757743811526527,0.0312715009739033,0.16720896278418396,0.4926924096171227,0.07477770936368275,4.837054724949657,0.40253399148208246
mathdial_hard,epistemic_caution,40,6,147.33125,38.91458333333334,0.19374999999999973,4.21875,0.29374999999999996,103.71041666666667,0.26412986608973543,0.0013150638442285647,0.028634454672718787,0.001993806473507826,0.001864699041584791,0.03908813650928464,0.00282440607347462,21.774193548387128,1.5161290322580665
mathdial_hard,help_directness,40,6,1064.7916666666667,270.2916666666667,42.66666666666665,285.20833333333326,28.36666666666666,438.25833333333344,0.253844648796713,0.04007043631383289,0.2678536489923693,0.02664057914302484,0.0887179220599192,0.3942245669001105,0.06079114206625589,6.684570312500001,0.6648437500000001
mathdial_hard,personalization,40,6,69.46666666666667,7.966666666666667,2.741666666666673,0.20833333333333187,0.4166666666666662,58.13333333333333,0.11468330134357006,0.03946737044145882,0.002999040307101706,0.005998080614203448,0.045037645448323164,0.0035709184402228007,0.0071164247082265795,0.07598784194528804,0.15197568389057697
mathdial_standard,affective_warmth,79,6,819.3955696202531,111.31223628691984,146.93354430379742,2.1360759493670916,28.072784810126578,530.9409282700423,0.13584676365593143,0.1793194273333616,0.0026068922368680256,0.03426035708630551,0.21675627309861883,0.00400706827054934,0.05021841889252657,0.01453770110486531,0.19105769852038512
mathdial_standard,autonomy_support,79,6,1459.8101265822784,88.8101265822785,125.44303797468355,482.0421940928271,55.61603375527424,707.8987341772148,0.06083676566225885,0.0859310643832647,0.3302088301177832,0.03809812847749113,0.15053012121396248,0.40509758311585176,0.07284211922432898,3.8427177934746055,0.44335687857383094
mathdial_standard,cognitive_load,79,6,687.324894514768,125.49156118143462,34.28691983122367,136.7088607594936,15.0126582278481,375.82489451476795,0.18257968274236325,0.04988458894018275,0.1988999116000392,0.021842156959041348,0.08360383347136995,0.26673142861847104,0.03841150401874153,3.987201575190739,0.4378538026089091
mathdial_standard,diagnostic_specificity,79,6,2074.911392405063,1119.4113924050635,22.56962025316457,74.63713080168777,24.894514767932478,833.3987341772147,0.5394984077404558,0.010877389914469437,0.03597123765134601,0.011997868853125745,0.026367353578373772,0.0821962366028592,0.029004672701932747,3.3069732660310325,1.1030099083940912
mathdial_standard,elicitation,79,6,2852.6698312236285,206.41983122362862,192.04324894514778,1446.4567510548525,91.7141350210971,916.0358649789026,0.0723602251351628,0.06732053139944781,0.5070536853661776,0.03215028042055505,0.17331185700727028,0.6122587394508858,0.09100881669173617,7.5319323069148645,0.4775702115271591
mathdial_standard,epistemic_caution,79,6,534.2647679324895,117.01476793248946,8.055907172995772,54.355485232067515,3.524261603375524,351.3143459915612,0.21902018429048953,0.015078492269237055,0.10173885401879235,0.006596470167804244,0.022416733444286893,0.1339894688942339,0.009932012830460144,6.74728296451487,0.4374754484745319
mathdial_standard,help_directness,79,6,2158.53164556962,475.69831223628705,132.82278481012656,692.0886075949369,67.97468354430382,789.9472573839658,0.22038051339791864,0.06153386033637493,0.32062935422579825,0.0314911683985832,0.14393920341660707,0.4669850601792211,0.07923178123962578,5.210616601543888,0.5117697512627468
mathdial_standard,personalization,79,6,216.8976793248945,82.64767932489451,4.676160337552753,0.5580168776371299,1.8154008438818592,127.20042194092827,0.3810445532757187,0.021559291699697062,0.0025727194471327998,0.008369849089821479,0.035458610291235815,0.004367749659414599,0.014071148830402206,0.11933228062260275,0.3882246785472589
