task,dimension,contexts,baseline_model_min,baseline_model_max,baseline_model_range,shared_prompt_mean_delta,prompt_delta_bootstrap_ci_low,prompt_delta_bootstrap_ci_high,absolute_prompt_over_baseline_range,ratio_bootstrap_ci_low,ratio_bootstrap_ci_high
mathdial_standard,affective_warmth,79,2.4556962025316458,3.9240506329113924,1.4683544303797467,-0.0949367088607595,-0.1877637130801688,-0.002109704641350211,0.06465517241379312,0.0065603982119422566,0.1330409356725146
mathdial_standard,autonomy_support,79,1.1898734177215189,2.962025316455696,1.7721518987341771,1.4261603375527425,1.2552742616033756,1.5970464135021096,0.8047619047619048,0.6385499574053792,1.0288829396325456
mathdial_standard,cognitive_load,79,1.9240506329113924,2.607594936708861,0.6835443037974684,-0.759493670886076,-0.873470464135021,-0.6413502109704642,1.111111111111111,0.785059291747888,1.4007092198581559
mathdial_standard,diagnostic_specificity,79,3.430379746835443,3.8734177215189876,0.44303797468354444,-0.5611814345991561,-0.7172995780590717,-0.4092827004219409,1.2666666666666664,0.677500341810227,2.182663690476188
mathdial_standard,elicitation,79,1.1139240506329113,3.2658227848101267,2.151898734177215,2.470464135021097,2.308016877637131,2.628691983122363,1.1480392156862746,0.9457856849636407,1.4373667155783807
mathdial_standard,epistemic_caution,79,1.0759493670886076,1.3544303797468353,0.2784810126582278,0.47890295358649787,0.3206751054852321,0.6286919831223629,1.7196969696969702,0.8333333333333335,3.5641025641025648
mathdial_standard,help_directness,79,2.9746835443037973,4.6835443037974684,1.708860759493671,-1.7088607594936709,-1.8818565400843883,-1.5252637130801694,0.9999999999999999,0.8300438596491228,1.2040275188982086
mathdial_standard,personalization,79,2.632911392405063,3.0,0.3670886075949369,0.04852320675105485,-0.0189873417721519,0.12236286919831224,0.13218390804597693,0.006666666666666658,0.32716049382716045
mathdial_hard,affective_warmth,40,2.275,3.825,1.5500000000000003,-0.25416666666666665,-0.39166666666666666,-0.1125,0.16397849462365588,0.07142063492063491,0.2527801724137931
mathdial_hard,autonomy_support,40,1.4,2.975,1.5750000000000002,1.25,1.0458333333333334,1.4458333333333333,0.7936507936507936,0.5862558049535604,1.035730519480519
mathdial_hard,cognitive_load,40,1.775,2.625,0.8500000000000001,-0.7208333333333333,-0.8916666666666667,-0.5623958333333349,0.8480392156862744,0.5853658536585367,1.2143105158730156
mathdial_hard,diagnostic_specificity,40,2.925,3.85,0.9250000000000003,-0.5,-0.7334375,-0.2707291666666682,0.5405405405405403,0.23483044733044736,0.9444444444444445
mathdial_hard,elicitation,40,1.25,3.45,2.2,2.1708333333333334,1.9291666666666667,2.4,0.9867424242424242,0.7766874175955891,1.3010342518178333
mathdial_hard,epistemic_caution,40,1.1,1.2,0.09999999999999987,0.1875,0.025,0.36666666666666664,1.8750000000000024,0.14575892857142855,3.7499999999999973
mathdial_hard,help_directness,40,3.075,4.6,1.5249999999999995,-1.5416666666666667,-1.8041666666666667,-1.275,1.0109289617486343,0.7584380661231882,1.361141304347826
mathdial_hard,personalization,40,2.8,3.125,0.3250000000000002,0.041666666666666664,-0.029166666666666667,0.12083333333333333,0.12820512820512814,0.0072463768115942065,0.428571428571429
