source_policy,score_panel,dimension,task,null_mse,global_model_mse,task_model_mse,relative_mse_reduction,split_p05,split_p95,fraction_splits_improved
conservative_cohort,consensus,affective_warmth,ALL_EQUAL_TASK_WEIGHT,0.621713088597417,0.4946305955058349,0.4383611805977327,0.11382076812387884,0.08741903820306922,0.14031481436499943,1.0
conservative_cohort,consensus,affective_warmth,longtutor,0.7013888888888888,0.5288445249144044,0.4650561793340165,0.12068107045493617,0.05933524317917105,0.16907666579438085,1.0
conservative_cohort,consensus,affective_warmth,mathdial_hard,0.9278198653198654,0.6908376542447883,0.6883253201524863,0.004118441318252647,-0.06452160778251467,0.05469638157889947,0.65
conservative_cohort,consensus,affective_warmth,mathdial_standard,0.8576436001809137,0.6212608284740653,0.6000632229044279,0.03417620315017853,-0.015901583676819753,0.07010970621678868,0.92
conservative_cohort,consensus,affective_warmth,socratic,0.0,0.13757937439008153,0.0,1.0,1.0,1.0,1.0
conservative_cohort,consensus,autonomy_support,ALL_EQUAL_TASK_WEIGHT,0.7061151000050253,0.574507072201241,0.5204683559879171,0.09411616041811265,0.05639405754440966,0.11973969256247737,1.0
conservative_cohort,consensus,autonomy_support,longtutor,0.7027777777777777,0.5665287892984265,0.5078750330010695,0.10360843861532054,0.022490714865861676,0.1562161122533708,0.99
conservative_cohort,consensus,autonomy_support,mathdial_hard,1.0690235690235692,0.8554444853899588,0.8280345669807825,0.032350697187887974,-0.05198358958981914,0.08623596724459053,0.8
conservative_cohort,consensus,autonomy_support,mathdial_standard,0.9707146087743103,0.6939066944237818,0.6663259249694291,0.03987985839944031,-0.01793006823604596,0.07027051128583106,0.88
conservative_cohort,consensus,autonomy_support,socratic,0.08194444444444444,0.18214831969279646,0.07963789900038687,0.5625854864796493,0.5377113206823461,0.5812327496592598,1.0
conservative_cohort,consensus,cognitive_load,ALL_EQUAL_TASK_WEIGHT,0.4157672417583798,0.355268575595112,0.3477841457666584,0.02112667316518095,-0.01546012884442477,0.04534289100613967,0.89
conservative_cohort,consensus,cognitive_load,longtutor,0.4673611111111111,0.3543840738291882,0.33691767822726276,0.04948692112641211,-0.04281992029258099,0.0940309038543017,0.88
conservative_cohort,consensus,cognitive_load,mathdial_hard,0.4465488215488216,0.40632952627568697,0.4010973305760339,0.013203571924511262,-0.06080211632684955,0.0627742832642288,0.72
conservative_cohort,consensus,cognitive_load,mathdial_standard,0.45228403437358655,0.3865269883880136,0.3897431028321662,-0.008274820744272765,-0.056139942314756504,0.022672532821565044,0.51
conservative_cohort,consensus,cognitive_load,socratic,0.29687500000000006,0.2738337138875593,0.26337847143117077,0.0381175643135994,-0.008060812074635148,0.068826016227702,0.94
conservative_cohort,consensus,diagnostic_specificity,ALL_EQUAL_TASK_WEIGHT,0.721671341315309,0.6913564258646028,0.6630438123294732,0.04106383920778166,-0.0001935489127758468,0.06832115428126603,0.95
conservative_cohort,consensus,diagnostic_specificity,longtutor,1.042361111111111,0.9223597390340117,0.8251456437020933,0.10554939647520632,0.044507616100942386,0.14823718228732752,1.0
conservative_cohort,consensus,diagnostic_specificity,mathdial_hard,1.1837822671156004,1.1320517272804558,1.1631422972735428,-0.027057588102408645,-0.12125868333673338,0.022377949249246697,0.33
conservative_cohort,consensus,diagnostic_specificity,mathdial_standard,0.6605419870345243,0.665726094850713,0.6638873083422568,0.002741523454076982,-0.04056753617473766,0.02860158345505818,0.65
conservative_cohort,consensus,diagnostic_specificity,socratic,0.0,0.04528814229323103,0.0,1.0,1.0,1.0,1.0
conservative_cohort,consensus,elicitation,ALL_EQUAL_TASK_WEIGHT,1.0976002510595173,0.8925378288597439,0.797747339228674,0.10626610094987121,0.06608425203363213,0.13257954184143622,1.0
conservative_cohort,consensus,elicitation,longtutor,1.1965277777777776,0.9278498179445078,0.8379045523252112,0.09708640442219213,0.028453499133584494,0.14461087223545763,0.98
conservative_cohort,consensus,elicitation,mathdial_hard,1.6884118967452302,1.3102607899286844,1.270117762420757,0.030986425662735885,-0.052131320299853665,0.08944478974363412,0.79
conservative_cohort,consensus,elicitation,mathdial_standard,1.4999057741595054,1.1037954767595202,1.0772877254847117,0.024094260351637756,-0.023217841490301514,0.055119971783057504,0.85
conservative_cohort,consensus,elicitation,socratic,0.005555555555555555,0.2282452308062631,0.005679316684015846,0.9750879125489356,0.9738019229721269,0.9761172279064934,1.0
conservative_cohort,consensus,epistemic_caution,ALL_EQUAL_TASK_WEIGHT,0.15732892513442887,0.1565253628263104,0.15795795599690624,-0.009086415885817883,-0.052222794217449554,0.0159174238665421,0.41
conservative_cohort,consensus,epistemic_caution,longtutor,0.2868055555555556,0.2782748896972136,0.2800890828951442,-0.006206333881343046,-0.08389098966133847,0.03552514363678655,0.56
conservative_cohort,consensus,epistemic_caution,mathdial_hard,0.13994107744107742,0.14305226561989406,0.14951670927356706,-0.0450619235765961,-0.12540774004025612,0.0063410189695743795,0.1
conservative_cohort,consensus,epistemic_caution,mathdial_standard,0.20083295642997137,0.19851687667525286,0.20044289241834498,-0.009658666470484524,-0.05396528862294443,0.021155038733799363,0.44
conservative_cohort,consensus,epistemic_caution,socratic,0.0017361111111111108,0.006257419312881097,0.001783139400568686,0.7119227268733479,0.6752368868167069,0.759613041381637,1.0
conservative_cohort,consensus,help_directness,ALL_EQUAL_TASK_WEIGHT,0.6902866899718579,0.5654999186797186,0.5296548361665276,0.06343518591132881,0.03066643249366719,0.08841201523395424,1.0
conservative_cohort,consensus,help_directness,longtutor,0.5993055555555555,0.45670873618222607,0.4451337050263479,0.025466670349943737,-0.06279911354209651,0.07532548427965034,0.81
