classifier_variant,family,metric,context_count,generic_mean,pedagogy_mean,pedagogy_minus_generic,context_bootstrap_ci_low,context_bootstrap_ci_high
char_svm,hard,normalized_entropy,266,0.5766055101845872,0.5392071138756572,-0.03739839630893002,-0.06850986429897343,-0.006631988793235997
char_svm,hard,modal_disagreement,266,0.3817878028404344,0.3563074352548037,-0.02548036758563074,-0.049707602339181284,-0.001253132832080199
char_svm,hard,unique_actions,266,2.672932330827068,2.5714285714285716,-0.10150375939849623,-0.21052631578947367,0.007518796992481203
char_svm,standard,normalized_entropy,1004,0.5695139804248246,0.5305108200896517,-0.039003160335173016,-0.0566442804581666,-0.020945040100584126
char_svm,standard,modal_disagreement,1004,0.3695219123505976,0.34340416113324485,-0.02611775121735281,-0.03984063745019921,-0.012724103585657358
char_svm,standard,unique_actions,1004,2.701195219123506,2.585657370517928,-0.11553784860557768,-0.17430278884462153,-0.055776892430278883
hybrid_svm,hard,normalized_entropy,266,0.5798729418186638,0.5447832201404055,-0.0350897216782584,-0.06759160212878577,-0.0015308860258550524
hybrid_svm,hard,modal_disagreement,266,0.3734335839598998,0.3550543024227235,-0.01837928153717628,-0.04344193817878029,0.0075187969924812
hybrid_svm,hard,unique_actions,266,2.7330827067669174,2.6052631578947367,-0.12781954887218044,-0.23684210526315788,-0.015037593984962405
hybrid_svm,standard,normalized_entropy,1004,0.5715277935746121,0.5336829040254762,-0.03784488954913588,-0.054786988189279476,-0.020913747243160523
hybrid_svm,standard,modal_disagreement,1004,0.36752988047808766,0.3478308986277114,-0.019698981850376274,-0.03276339088092076,-0.006972111553784859
hybrid_svm,standard,unique_actions,1004,2.7241035856573705,2.5846613545816735,-0.1394422310756972,-0.199203187250996,-0.0796812749003984
word_svm,hard,normalized_entropy,266,0.5827013131091814,0.5347917179201258,-0.04790959518905567,-0.07978014434791739,-0.016326442298154904
word_svm,hard,modal_disagreement,266,0.3834586466165414,0.3425229741019215,-0.040935672514619895,-0.06641604010025062,-0.015444862155388437
word_svm,hard,unique_actions,266,2.710526315789474,2.6090225563909772,-0.10150375939849623,-0.21052631578947367,0.015037593984962405
word_svm,standard,normalized_entropy,1004,0.5656511357244507,0.5298673139038654,-0.035783821820585385,-0.05131817145963989,-0.019609880833072958
word_svm,standard,modal_disagreement,1004,0.3649845064187694,0.3422974767596281,-0.022687029659141218,-0.03508466135458168,-0.010729305002213347
word_svm,standard,unique_actions,1004,2.6902390438247012,2.5786852589641436,-0.11155378486055777,-0.16733067729083664,-0.05677290836653386
