repeat,dimension,task,null_mse,global_model_mse,task_model_mse,relative_mse_reduction
0,affective_warmth,longtutor,0.7013888888888888,0.5365131945567946,0.4470827806686392,0.16668819107428
0,affective_warmth,mathdial_hard,0.9069444444444443,0.679191773384533,0.6517890185467419,0.04034612301211826
0,affective_warmth,mathdial_standard,0.8354430379746836,0.6215076328771166,0.6086260475588752,0.020726350951812633
0,affective_warmth,socratic,0.0,0.12842347852668584,0.0,1.0
0,affective_warmth,ALL_EQUAL_TASK_WEIGHT,0.6109440928270042,0.49140901983628255,0.4268744616935641,0.1313255466173957
0,autonomy_support,longtutor,0.7027777777777777,0.5541216010459985,0.4995771406545817,0.09843409874015896
0,autonomy_support,mathdial_hard,1.06875,0.8821979297722725,0.8658892373807079,0.018486432399330677
0,autonomy_support,mathdial_standard,0.9926160337552743,0.7505828509687701,0.7192907214647385,0.04169044025405477
0,autonomy_support,socratic,0.08194444444444444,0.17218003257228315,0.07892983119173594,0.5415854555690115
0,autonomy_support,ALL_EQUAL_TASK_WEIGHT,0.7115220639943741,0.589770603589831,0.540921732672941,0.08282690018721772
0,cognitive_load,longtutor,0.46736111111111106,0.3521167339472736,0.3420093542042195,0.028704627666368165
0,cognitive_load,mathdial_hard,0.4444444444444445,0.39611893391377845,0.3840535921548277,0.030458886778628402
0,cognitive_load,mathdial_standard,0.4261603375527427,0.36510706758258266,0.3696834748077704,-0.012534425190639853
0,cognitive_load,socratic,0.296875,0.27200766075463484,0.2655436927857563,0.023763918821056218
0,cognitive_load,ALL_EQUAL_TASK_WEIGHT,0.40871022327707457,0.3463375990495674,0.3403225284881435,0.017367651037400234
0,diagnostic_specificity,longtutor,1.0423611111111113,0.92983986394586,0.8675306303778527,0.06701071440795459
0,diagnostic_specificity,mathdial_hard,1.065972222222222,1.031474312868535,1.0828501688677248,-0.04980817782685554
0,diagnostic_specificity,mathdial_standard,0.6487341772151899,0.6735861917726937,0.6623340081455387,0.016704890576130116
0,diagnostic_specificity,socratic,0.0,0.05096066871592805,0.0,1.0
0,diagnostic_specificity,ALL_EQUAL_TASK_WEIGHT,0.6892668776371308,0.6714652593257542,0.653178701847779,0.02723381027387395
0,elicitation,longtutor,1.1965277777777779,0.9154711601372935,0.8689307851239668,0.05083762005822989
0,elicitation,mathdial_hard,1.6701388888888886,1.3187044259981733,1.2566482263983096,0.04705846008887937
0,elicitation,mathdial_standard,1.5840365682137834,1.2037356277963875,1.195470989118841,0.006865825424371641
0,elicitation,socratic,0.005555555555555557,0.21763427418818476,0.005635060608605581,0.9741076600658358
0,elicitation,ALL_EQUAL_TASK_WEIGHT,1.1140646976090014,0.9138863720300098,0.8316712653124309,0.08996206665709994
0,epistemic_caution,longtutor,0.28680555555555554,0.2785768348466572,0.2902812142185038,-0.04201490543278408
0,epistemic_caution,mathdial_hard,0.14097222222222222,0.1499675611740921,0.15947736947182592,-0.06341243548459263
0,epistemic_caution,mathdial_standard,0.250351617440225,0.2509005166555179,0.2586304558652861,-0.030808781555365705
0,epistemic_caution,socratic,0.0017361111111111112,0.00662166799328352,0.001799886621315193,0.7281822913590879
0,epistemic_caution,ALL_EQUAL_TASK_WEIGHT,0.16996637658227848,0.17151664516738768,0.17754723154423274,-0.03516035642464699
0,help_directness,longtutor,0.5993055555555555,0.44659309932530145,0.4374293226881611,0.02051929743425207
0,help_directness,mathdial_hard,0.9972222222222221,0.8125344571951801,0.8206921105667515,-0.010039762990151857
0,help_directness,mathdial_standard,1.0573136427566807,0.8171959731826743,0.778146324809585,0.047784925103100395
0,help_directness,socratic,0.1052083333333333,0.21116899330953828,0.1119458091878727,0.46987572638669095
0,help_directness,ALL_EQUAL_TASK_WEIGHT,0.689762438466948,0.5718731307531736,0.5370533918130926,0.06088717421331258
0,personalization,longtutor,1.492361111111111,1.299824800161212,1.1238260480789943,0.1354019034414402
0,personalization,mathdial_hard,0.15486111111111112,0.17782706077713795,0.15512504642318026,0.1276634402815049
0,personalization,mathdial_standard,0.13255977496483826,0.14149724930592184,0.1273013436511225,0.10032637188661742
0,personalization,socratic,0.03680555555555556,0.07272279028269246,0.036808215055569554,0.4938558474931116
0,personalization,ALL_EQUAL_TASK_WEIGHT,0.45414688818565396,0.4229679751317411,0.3607651633022167,0.1470626985651815
1,affective_warmth,longtutor,0.7013888888888891,0.5333225020410156,0.47472222222222216,0.1098777561316675
1,affective_warmth,mathdial_hard,0.9069444444444443,0.6829182037400644,0.6435691085943611,0.05761904563416864
1,affective_warmth,mathdial_standard,0.8354430379746838,0.617421203226206,0.5921389993445775,0.040948065517545595
1,affective_warmth,socratic,0.0,0.12288911214847278,0.0,1.0
1,affective_warmth,ALL_EQUAL_TASK_WEIGHT,0.6109440928270042,0.4891377552889397,0.4276075825402902,0.12579313717523788
1,autonomy_support,longtutor,0.7027777777777777,0.5637471999030991,0.5199305555555556,0.07772392369323522
1,autonomy_support,mathdial_hard,1.06875,0.8535962505369401,0.8053078129782675,0.0565705830224742
1,autonomy_support,mathdial_standard,0.9926160337552742,0.7236926778671697,0.7001568714166257,0.032521824761178375
1,autonomy_support,socratic,0.08194444444444444,0.17618798864951155,0.07841380272988016,0.5549424036739092
1,autonomy_support,ALL_EQUAL_TASK_WEIGHT,0.7115220639943741,0.5793060292391802,0.5259522606700823,0.09209945327026714
1,cognitive_load,longtutor,0.46736111111111106,0.3613485270878313,0.35892361111111104,0.006710739894979056
1,cognitive_load,mathdial_hard,0.4444444444444445,0.3997050006155587,0.3744385493543743,0.0632127474569325
1,cognitive_load,mathdial_standard,0.4261603375527427,0.3646970168726318,0.3610777507010992,0.00992403558046262
1,cognitive_load,socratic,0.296875,0.27507152277895586,0.2657663103396478,0.03382833797297724
1,cognitive_load,ALL_EQUAL_TASK_WEIGHT,0.40871022327707457,0.35020551683874435,0.34005155537655807,0.028994293276258576
1,diagnostic_specificity,longtutor,1.042361111111111,0.9355832423312069,0.845173611111111,0.09663451324205086
1,diagnostic_specificity,mathdial_hard,1.065972222222222,1.0223924844881187,1.0303477040324682,-0.007780983981247047
1,diagnostic_specificity,mathdial_standard,0.6487341772151899,0.659450334385428,0.6356526233528008,0.036087192305096605
1,diagnostic_specificity,socratic,0.0,0.04175272811919582,0.0,1.0
1,diagnostic_specificity,ALL_EQUAL_TASK_WEIGHT,0.6892668776371308,0.6647946973309874,0.627793484624095,0.05565810445757846
1,elicitation,longtutor,1.1965277777777779,0.9266719485098479,0.8975347222222222,0.0314428707316331
1,elicitation,mathdial_hard,1.6701388888888886,1.2722956493020239,1.2211968520785859,0.04016267543748231
1,elicitation,mathdial_standard,1.5840365682137834,1.1550249182342995,1.1059263747131318,0.042508644398966955
1,elicitation,socratic,0.005555555555555556,0.23239946456208932,0.005631369814871499,0.9757685766381489
1,elicitation,ALL_EQUAL_TASK_WEIGHT,1.1140646976090014,0.8965979951520651,0.8075723297072028,0.09929273311587461
1,epistemic_caution,longtutor,0.28680555555555554,0.27897946139600893,0.29614583333333333,-0.061532744566299424
1,epistemic_caution,mathdial_hard,0.14097222222222222,0.1459840368941107,0.15016477201872824,-0.02863830329373629
1,epistemic_caution,mathdial_standard,0.25035161744022505,0.2462525133982373,0.2499715790040473,-0.015102650342478041
1,epistemic_caution,socratic,0.0017361111111111112,0.005806884295083128,0.0017950531550068587,0.6908749918563408
1,epistemic_caution,ALL_EQUAL_TASK_WEIGHT,0.16996637658227848,0.16925572399586003,0.17451930937777893,-0.031098418757451673
