task,model,dimension,paired_contexts,generic_mean,pedagogy_mean,mean_delta,median_delta,positive_fraction,negative_fraction
mathdial_hard,deepseek-v4-pro,information_structure,6,3.6666666666666665,3.5833333333333335,-0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333
mathdial_hard,deepseek-v4-pro,instructional_agency,6,3.8333333333333335,3.9166666666666665,0.08333333333333333,0.5,0.6666666666666666,0.3333333333333333
mathdial_hard,deepseek-v4-pro,learner_contingency,6,2.9166666666666665,3.0,0.08333333333333333,-0.25,0.3333333333333333,0.5
mathdial_hard,deepseek-v4-pro,relational_communion,6,3.1666666666666665,2.75,-0.4166666666666667,-0.75,0.3333333333333333,0.6666666666666666
mathdial_hard,doubao-seed-2.0-pro,information_structure,6,3.6666666666666665,3.8333333333333335,0.16666666666666666,0.25,0.5,0.16666666666666666
mathdial_hard,doubao-seed-2.0-pro,instructional_agency,6,4.333333333333333,3.25,-1.0833333333333333,-1.0,0.0,0.8333333333333334
mathdial_hard,doubao-seed-2.0-pro,learner_contingency,6,3.5833333333333335,3.0,-0.5833333333333334,-0.5,0.0,0.8333333333333334
mathdial_hard,doubao-seed-2.0-pro,relational_communion,6,3.8333333333333335,2.75,-1.0833333333333333,-1.25,0.0,0.6666666666666666
mathdial_hard,glm-5.2,information_structure,6,3.75,3.6666666666666665,-0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666
mathdial_hard,glm-5.2,instructional_agency,6,3.5,3.75,0.25,0.5,0.6666666666666666,0.16666666666666666
mathdial_hard,glm-5.2,learner_contingency,6,3.0,3.1666666666666665,0.16666666666666666,0.0,0.16666666666666666,0.0
mathdial_hard,glm-5.2,relational_communion,6,3.0,3.0833333333333335,0.08333333333333333,0.25,0.5,0.3333333333333333
mathdial_hard,minimax-m2.7,information_structure,6,3.75,3.25,-0.5,-0.5,0.0,0.6666666666666666
mathdial_hard,minimax-m2.7,instructional_agency,6,4.5,3.9166666666666665,-0.5833333333333334,-1.25,0.3333333333333333,0.6666666666666666
mathdial_hard,minimax-m2.7,learner_contingency,6,2.5833333333333335,2.75,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
mathdial_hard,minimax-m2.7,relational_communion,6,2.8333333333333335,2.75,-0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333
mathdial_hard,minimax-m3,information_structure,6,3.75,3.6666666666666665,-0.08333333333333333,0.0,0.3333333333333333,0.3333333333333333
mathdial_hard,minimax-m3,instructional_agency,6,4.833333333333333,4.166666666666667,-0.6666666666666666,-0.75,0.16666666666666666,0.6666666666666666
mathdial_hard,minimax-m3,learner_contingency,6,3.0,3.0,0.0,0.0,0.3333333333333333,0.3333333333333333
mathdial_hard,minimax-m3,relational_communion,6,3.3333333333333335,2.8333333333333335,-0.5,-1.0,0.3333333333333333,0.6666666666666666
mathdial_hard,qwen3.5-4b,information_structure,6,3.3333333333333335,3.4166666666666665,0.08333333333333333,0.25,0.5,0.16666666666666666
mathdial_hard,qwen3.5-4b,instructional_agency,6,4.666666666666667,3.3333333333333335,-1.3333333333333333,-1.5,0.0,0.8333333333333334
mathdial_hard,qwen3.5-4b,learner_contingency,6,2.6666666666666665,2.75,0.08333333333333333,0.0,0.3333333333333333,0.3333333333333333
mathdial_hard,qwen3.5-4b,relational_communion,6,3.25,2.9166666666666665,-0.3333333333333333,-0.5,0.3333333333333333,0.5
mathdial_standard,deepseek-v4-pro,information_structure,6,3.6666666666666665,3.75,0.08333333333333333,0.0,0.3333333333333333,0.3333333333333333
mathdial_standard,deepseek-v4-pro,instructional_agency,6,3.5,3.0833333333333335,-0.4166666666666667,-0.25,0.5,0.5
mathdial_standard,deepseek-v4-pro,learner_contingency,6,2.75,3.0,0.25,0.25,0.5,0.0
mathdial_standard,deepseek-v4-pro,relational_communion,6,2.4166666666666665,2.25,-0.16666666666666666,-0.25,0.16666666666666666,0.5
mathdial_standard,doubao-seed-2.0-pro,information_structure,6,4.0,3.75,-0.25,0.0,0.0,0.3333333333333333
mathdial_standard,doubao-seed-2.0-pro,instructional_agency,6,4.75,2.75,-2.0,-2.0,0.0,1.0
mathdial_standard,doubao-seed-2.0-pro,learner_contingency,6,3.4166666666666665,3.0,-0.4166666666666667,-0.25,0.16666666666666666,0.5
mathdial_standard,doubao-seed-2.0-pro,relational_communion,6,3.5833333333333335,3.3333333333333335,-0.25,-0.25,0.16666666666666666,0.5
mathdial_standard,glm-5.2,information_structure,6,3.75,3.8333333333333335,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666
mathdial_standard,glm-5.2,instructional_agency,6,3.4166666666666665,3.25,-0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333
mathdial_standard,glm-5.2,learner_contingency,6,3.25,3.1666666666666665,-0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333
mathdial_standard,glm-5.2,relational_communion,6,3.5,2.9166666666666665,-0.5833333333333334,-0.75,0.16666666666666666,0.6666666666666666
mathdial_standard,minimax-m2.7,information_structure,6,4.0,3.75,-0.25,0.0,0.0,0.3333333333333333
mathdial_standard,minimax-m2.7,instructional_agency,6,4.666666666666667,2.8333333333333335,-1.8333333333333333,-2.0,0.0,0.8333333333333334
mathdial_standard,minimax-m2.7,learner_contingency,6,2.8333333333333335,2.75,-0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333
mathdial_standard,minimax-m2.7,relational_communion,6,2.6666666666666665,3.1666666666666665,0.5,0.25,0.5,0.0
mathdial_standard,minimax-m3,information_structure,6,3.4166666666666665,3.9166666666666665,0.5,0.0,0.3333333333333333,0.16666666666666666
mathdial_standard,minimax-m3,instructional_agency,6,4.666666666666667,3.0833333333333335,-1.5833333333333333,-1.5,0.0,1.0
mathdial_standard,minimax-m3,learner_contingency,6,2.6666666666666665,2.9166666666666665,0.25,0.25,0.5,0.16666666666666666
mathdial_standard,minimax-m3,relational_communion,6,3.0833333333333335,2.8333333333333335,-0.25,0.0,0.0,0.3333333333333333
mathdial_standard,qwen3.5-4b,information_structure,6,3.4166666666666665,3.6666666666666665,0.25,0.25,0.5,0.3333333333333333
mathdial_standard,qwen3.5-4b,instructional_agency,6,3.8333333333333335,3.0833333333333335,-0.75,-0.75,0.3333333333333333,0.5
mathdial_standard,qwen3.5-4b,learner_contingency,6,2.8333333333333335,3.0,0.16666666666666666,0.25,0.5,0.16666666666666666
mathdial_standard,qwen3.5-4b,relational_communion,6,3.1666666666666665,2.9166666666666665,-0.25,-0.25,0.3333333333333333,0.5
